=== PQ-SIMD Cross-Centroid Benchmark: M x p ===
vecdim=96 base_number=100000 test_number=2000 Ks=256 k=10

M=4 p=20 recall=0.179101 latency_us=134.266 dsub=24
M=4 p=50 recall=0.31275 latency_us=153.167 dsub=24
M=4 p=100 recall=0.4472 latency_us=173.336 dsub=24
M=4 p=200 recall=0.600751 latency_us=223.273 dsub=24
M=4 p=500 recall=0.797803 latency_us=367.198 dsub=24
M=6 p=20 recall=0.28325 latency_us=173.27 dsub=16
M=6 p=50 recall=0.45525 latency_us=180.391 dsub=16
M=6 p=100 recall=0.6045 latency_us=200.632 dsub=16
M=6 p=200 recall=0.747752 latency_us=235.372 dsub=16
M=6 p=500 recall=0.891804 latency_us=377.833 dsub=16
M=8 p=20 recall=0.37615 latency_us=203.203 dsub=12
M=8 p=50 recall=0.5706 latency_us=220.708 dsub=12
M=8 p=100 recall=0.717001 latency_us=246.299 dsub=12
M=8 p=200 recall=0.842904 latency_us=289.802 dsub=12
M=8 p=500 recall=0.947804 latency_us=444.645 dsub=12
M=12 p=20 recall=0.5185 latency_us=269.707 dsub=8
M=12 p=50 recall=0.724002 latency_us=292.845 dsub=8
M=12 p=100 recall=0.852103 latency_us=305.018 dsub=8
M=12 p=200 recall=0.934654 latency_us=341.536 dsub=8
M=12 p=500 recall=0.986802 latency_us=486.382 dsub=8
M=16 p=20 recall=0.6162 latency_us=316.51 dsub=6
M=16 p=50 recall=0.823254 latency_us=334.523 dsub=6
M=16 p=100 recall=0.924105 latency_us=365.339 dsub=6
M=16 p=200 recall=0.974453 latency_us=405.237 dsub=6
M=16 p=500 recall=0.995951 latency_us=562.258 dsub=6
M=24 p=20 recall=0.683401 latency_us=401.9 dsub=4
M=24 p=50 recall=0.873705 latency_us=415.856 dsub=4
M=24 p=100 recall=0.953454 latency_us=449.124 dsub=4
M=24 p=200 recall=0.986202 latency_us=489.636 dsub=4
M=24 p=500 recall=0.99835 latency_us=636.086 dsub=4
